"Now Shopping by",現在買い物をしている人
"Refund Gift Cards to Store Credit",ギフトカードの返金をストアクレジットに行う
"Add Gift Card",ギフトカードを追加
"Gift Card (%1)","ギフトカード (%1)"
"Enter gift card code",ギフトカードコードを入力してください
"Redeem Gift Card",ギフトカードを換金
"Check status and balance",ステータスと残高を確認
"Have a gift card? ","ギフトカードをお持ちですか？ "
"Click here",ここをクリック
" to redeem it."," それを償還するために。"
"Check Gift Card status and balance",ギフトカードのステータスと残高を確認
"Gift Card: ","ギフトカード: "
"Expires: ","失効: "
"Please enter a valid gift card code.",有効なギフトカードコードを入力してください。
"Add or remove gift cards",ギフトカードの追加または削除
"Gift Card amount applied to order:",注文に適用されたギフトカードの金額:
"You've been sent a gift from %store_name","あなたは %store_name から贈り物を送りました"
"You've been sent a gift card for use at %store_name and it is now ready to be used for purchases.",％store_nameで使用するギフトカードが送信されました。これで、購入の際利用できるようになりました。
"Gift Card Code: %code","ギフトカードコード: %code"
"The card has a balance of %balance and can be used at ","カードは %balance の残高を有しで使用することができ"
"Gift Card amount applied to order: ","注文に適用されたギフトカードの金額: "
"Email Sent from Gift Card Account Management",ギフトカードアカウント管理から送信されたメール
"Gift Card Email Sender",ギフトカードメール送信者
"Gift Card Template",ギフトカードテンプレート
"Gift Card Account General Settings",ギフトカードアカウント全般情報
"Code Length",コード長さ
"Excluding prefix, suffix and separators.",プレフィックスとサフィックス、区切り文字を入力してください。
"Code Format",コードフォーマット
"Code Prefix",コードプレフィックス
"Code Suffix",コードサフィックス
"Dash Every X Characters",X文字ごとにハイフンを入れる
"if empty no separation",空の場合分離なし
"New Pool Size",新規プールサイズ
"Low Code Pool Threshold",最小コードプール閾値
"IMPORTANT: Be sure to save your configuration before running generation process.",重要：生成プロセスを実行する前に、設定を保存してください。
"Are you sure you want to delete these gift card accounts?",これらのギフトアカウントを削除してもよろしいですか？
"Invalid Request",無効なリクエスト
"Amount can be returned to Store Credit.",金額はストアクレジットに返金できます。
"The gift card couldn't be deleted from the quote.",ギフトカードを見積もりから削除できませんでした。
"The gift card code couldn't be added. Verify your information and try again.",ギフトカードコードが追加できませんでした。情報を確認して再度お試し下さい。
"The gift card code is either incorrect or expired. Verify and try again.",ギフトカードコードが正しくないか、有効期限が切れています。確認して再度お試し下さい。
"Gift Card %1 was removed.","ギフトカード %1 が削除されました。"
"Gift card not found",ギフトカードが見つかりません
"Cannot find the customer to update balance",残高を更新する顧客が見つかりません
"The ""%1"" product is not part of the current creditmemo."," ""%1"" 製品は現在のクレジットメモの一部ではありません。"
"The return to stock argument contains product item that is not part of the original order.",在庫引数への返品は元の注文の一部ではない製品の項目が含まれています。
"Change Billing Address",ご連絡先住所変更
"Ship to Multiple Addresses",複数の住所へ送る
"Billing Information - %1","請求先情報 - %1"
"Review Order - %1","注文確認 - %1"
"Total for this address",このアドレスへの合計
"Edit Address",住所を編集
"Edit Billing Address",請求先住所を編集
"Edit Shipping Address",配送先を編集
"Create Billing Address",請求先住所を作成
"Create Shipping Address",発送先住所を作成
"Data saving problem",データ保存問題
"We cannot open the overview page.",概要ページを開けません
"Please agree to all Terms and Conditions before placing the order.",ご注文前にご一読ください。
"Order place error",注文エラー
"Maximum qty allowed for Shipping to multiple addresses is %1","複数住所に送付することができることが可能な最大数量は %1"
"Please check shipping address information.",お届先住所を確認してください。
"Please check billing address information.",ご請求先住所を確認してください。
"Please select shipping methods for all addresses.",すべての住所のための配送方法を選択してください
"A payment method is not defined.",支払方法が定義されていません。
"The requested payment method is not available for multishipping.",要求された支払方法はマルチシッピングに対応していません。
"Item not found or already ordered",商品が見つからないか、ご注文済みです
"Please check shipping addresses information.",お届先住所を確認してください。
"Please specify shipping methods for all addresses.",すべての配送先に配送方法を指定してください。
"Quote address for failed order not found.",失敗した注文の見積もりアドレスが見つかりません。
"Exception for failed order not found.",失敗した注文の例外が見つかりません。
"Select Addresses",住所選択
"Billing Information",請求先情報
"Order Success",注文成功
"Order Results",注文結果
"Default Billing",標準の請求先
"Default Shipping",標準の配送方法
"Select Address",住所選択
"Back to Billing Information",請求先情報に戻る
"Please select a shipping address for applicable items.",商品のための送付先住所を選択してください
"Send To",配送先
"A shipping selection is not applicable.",発送方法は適用されません。
"Go to Shipping Information",配送方法の選択に進む
"Update Qty &amp; Addresses",数量&amp
"Enter a New Address",新しい住所を入力
"Back to Shopping Cart",ショッピングカートに戻る
"Go to Review Your Order",ご注文内容の確認
"Back to Shipping Information",配送方法の選択に戻る
"Other items in your order",あなたの注文に他のアイテム
"Edit Items",アイテムを編集
"Shipping is not applicable.",送付は可能ではありません
"Check Out with Multiple Addresses",複数の住所でチェックアウト
"Please see",ご覧下さい
"details below",以下の詳細
"Shipping To",配送先
"Order Review",ご注文の確認
"Grand Total:",合計：
"Submitting order information...",注文情報を送信しています。。。
"Not all items were included.",すべての商品が含まれているとは限りません。
"For details, see",詳細については、ご覧下さい。
"Failed to Order",注文に失敗しました
"section below",以下のセクション
"For successfully ordered items, you'll receive a confirmation email including order numbers, tracking information, and more details.",正常に注文された商品については、注文番号、追跡情報、詳細を含む確認メールが届きます。
"Successfully Ordered",注文完了！
"No shipping required.",配送不要
"To purchase these items: Return to the","これらの商品を注文するには: に戻る"
"Review page in Checkout",チェックアウトのレビューページ
"resolve any errors, and place a new order.",全てのエラーを解決し、新しい注文を行って下さい。
"Address %1 <span>of %2</span>","住所 %1 <span>の %2</span>"
"Sorry, no quotes are available for this order right now.",申し訳ありません、現在この注文の見積もりはできません。
"Continue to Billing Information",ご請求先情報へ
"Back to Select Addresses",住所選択に戻る
"For successfully order items, you'll receive a confirmation email including order numbers, tracking information and more details.",正常な注文商品については、注文番号、追跡情報、詳細を含む確認メールが届きます。
"Successfully ordered",注文完了！
"We can't complete your order because you don't have a payment method set up.",支払方法設定がされていないので注文を完了できません。
"Multishipping Settings Section",マルチシッピング設定セクション
"Multishipping Settings",マルチシッピング設定
"Allow Shipping to Multiple Addresses",複数配送を許可
"Maximum Qty Allowed for Shipping to Multiple Addresses",複数配送で許可する最大個数
"Review Order",注文の確認
"We could only complete part of your order.",あなたの注文の一部を完了することしかできませんでした。
"We were unable to complete your order.",注文を完了することができませんでした。
"Select Shipping Method",配送方法を選択
"Thanks for your order. We'll email you order details and tracking information.",ご注文ありがとうございます。Eメールにて注文詳細と配送情報を送ります。
"Your order numbers are: ","あなたの注文番号は: "
"Your order number is: ","注文番号: "
"We are unable to process your request. Please, try again later.",リクエストを処理できません。再度お試し下さい。
"The maximum quantity can't be more than %1 when shipping to multiple addresses. Change the quantity and try again.","複数の住所に配送する場合、最大数は％1を超えてはいけません。 数量を変更して再度お試しください。"
"Verify the shipping address information and continue.",配送先の情報を確認して続けて下さい。
"Verify the billing address information and continue.",請求先の情報を確認して続けて下さい。
"Set shipping methods for all addresses. Verify the shipping methods and try again.",全ての住所に配送方法を設定して下さい。配送方法を確認し、再度お試し下さい。
"A payment method isn't defined. Verify and try again.",支払い方法が定義されていません。確認して再度お試し下さい。
"This payment method can't be used for shipping to multiple addresses. Change the payment method and try again.",この支払い方法では、複数の配送先への配送には使用することができません。支払い方法を変更して再度お試し下さい。
"The item isn't found, or it's already ordered.",その商品は見つからないか、既に注文されています。
"Sales Rule",販売ルール
"Index sales rule",販売ルールのインデックス
"Static Blocks",静的ブロック
"Add New Block",新規ブロック追加
"Delete Block",ブロックの削除
"Save Block",保存
"Add New Page",新規ページの追加
"Delete Page",ページの削除
"Save Page",保存
Modified,更新日
"Media Storage",メディアストレージ
"Create Folder...",フォルダを作成...
"Delete Folder",フォルダを削除
"Insert File",ファイル挿入
"New Folder Name:",新しいフォルダ名:
"Are you sure you want to delete this folder?",本当にこのフォルダを削除しますか?
"Are you sure you want to delete this file?",本当にこのファイルを削除しますか?
"Images (%1)","画像 (%1)"
"Storage Root",ストレージルート
"You deleted the block.",ブロックを削除しました。
"We can't find a block to delete.",削除するブロックが見つかりません。
"Edit Block",ブロックを編集
"New Block",新規ブロック
Blocks,ブロック
"You saved the block.",ブロックを保存しました。
"Something went wrong while saving the block.",ブロックの保存中に何か問題が発生しました。
"The page has been deleted.",ページを削除しました
"We can't find a page to delete.",削除するページが見つかりません。
"This page no longer exists.",このページは存在していません。
"Something went wrong while saving the page.",保存中に問題が発生しました。
"A total of %1 record(s) have been disabled.","合計 %1 レコードが無効化されました。"
"A total of %1 record(s) have been enabled.","合計 %1 レコードが有効化されました。"
"To apply changes you should fill in hidden required ""%1"" field","変更を適用するには隠れた必須の""%1""フィールドを埋めなくてはなりません。"
"You saved the page.",ページを保存しました。
"Directory %1 is not under storage root path.","ディレクトリー %1 はストレージルートパスの下にありません。"
"The directory %1 is not writable by server.","ディクショナリー %1 はサーバーから書き込み可能ではありません。"
"Make sure that static block content does not reference the block itself.",静的ブロックコンテンツがブロック自身を参照しないように気をつけてください。
"CMS Block with id ""%1"" does not exist.","id ""%1"" のCMSブロックは存在しません。"
"Disabled Completely",完全に無効にする
"This identifier is reserved for ""CMS No Route Page"" in configuration.","この識別子は、構成内の ""CMS No Route Page"" 用に留保されています。"
"This identifier is reserved for ""CMS Home Page"" in configuration.","この識別子は、設定の ""CMSホームページ"" 用に留保されています。"
"This identifier is reserved for ""CMS No Cookies Page"" in configuration.","この識別子は、構成内の ""CMS No Cookies Page"" 用に留保されています。"
"Could not save the page: %1","ページを保存できませんでした: %1"
"CMS Page with id ""%1"" does not exist.","id ""%1"" のCMSページは存在しません。"
"Could not delete the page: %1","ページを削除できませんでした: %1"
"A block identifier with the same properties already exists in the selected store.",選択した店舗には同じブロック識別子のブロックが存在しています。
"The page URL key contains capital letters or disallowed symbols.",URLキーに使用できない文字が含まれています。
"The page URL key cannot be made of only numbers.",ページURLキーは数字でのみ作成はできません。
"Please rename the folder using only letters, numbers, underscores and dashes.",フォルダ名を文字、数字、アンダーバー、バーのみで書き換えて下さい。
"We found a directory with the same name. Please try another folder name.",同じ名前のディクショナリーを見つけました。別のフォルダ名をお試しください。
"We cannot create a new directory.",新しいディクショナリーを作成できません。
"We cannot delete directory %1.","ディクショナリー %1 を削除できません。"
"We can't upload the file right now.",現在ファイルをアップロードできません。
"We can't delete root directory %1 right now.","現在ルートディレクトリ %1 を削除できません。"
"Privacy and Cookie Policy",プライバシーポリシー
"Could not create a directory.",ディレクトリを作成できませんでした。
"Are you sure you want to delete a %1 record?","%1 のレコードを削除してもよろしいですか?"
"No files found",ファイルが見つかりません
"Media Gallery",メディアギャラリー
"Content Management",コンテンツ管理
"CMS Home Page",CMSホームページ
"CMS No Route Page",CMSエラーページ
"CMS No Cookies Page",Cookie無効時ページ
"Show Breadcrumbs for CMS Pages",CMSページにパンくずを表示する
"Browser Capabilities Detection",ブラウザ互換性検出
"Redirect to CMS-page if Cookies are Disabled",Cookieが無効の場合はCMSページにリダイレクトさせる。
"Show Notice if JavaScript is Disabled",JavaScriptが無効の場合に警告を表示する。
"Show Notice if Local Storage is Disabled",ローカルストレージが無効の場合に警告を表示する。
"WYSIWYG Options",WYSIWYGオプション
"Enable WYSIWYG Editor",WYSIWYGエディタを有効にする
"CMS Page Link",CMSページリンク
"Link to a CMS Page",CMSページにリンク
"CMS Page",CMSページ
"Select Page...",選択ページ...
"If empty, the Page Title will be used",空白の場合はページタイトルが使用されます（日本語は正しく処理されません）
"CMS Static Block",静的ブロック
"Contents of a Static Block",静的ブロックのコンテンツ
Block,ブロック
"Select Block...",選択ブロック...
"CMS Static Block Default Template",静的ブロックデフォルトテンプレート
"Are you sure you want to delete selected items?",選択したアイテムを削除してもよろしいですか？
"Page Information",ページ情報
"Custom Design Update",カスタムデザインのアップデート
"New Layout",新しいレイアウト
"Custom design from",カスタムデザイン元
"Custom design to",カスタムデザイン先
"Custom Theme",カスタムテーマ
"Custom Layout",カスタムレイアウト
"Edit Block '%1'",'%1'ブロックを編集
"Edit Page '%1'",ページ'%1'を編集
"Page Layout",ページレイアウト
"Custom Design From",カスタムデザイン適用開始日
"Custom Design To",カスタムデザイン適用終了日
"Custom Layout Update XML",カスタムレイアウト更新XML
"Relative to Web Site Base URL",ベースURLからの相対パス
"Page Status",ページステータス
"Meta Data",メタデータ
Keywords,キーワード
"You saved this page.",このページを保存しました。
"Could not create directory.",ディレクトリを作成できませんでした。
"Delete ${ $.$data.title }","削除 ${ $.$data.title }"
"Are you sure you wan't to delete a ${ $.$data.title } record?","本当に ${ $.$data.title } レコードを削除しますか？"
"Delete ""${ $.$data.title }""","削除 ""${ $.$data.title }"""
"Are you sure you wan't to delete a ""${ $.$data.title }"" record?","""${ $.$data.title }"" を削除してもよろしいですか？"
"Are you sure you wan't to delete selected items?",本当に選択したアイテムを削除しますか？
"Delete Selected",選択項目を削除
"Create Folder",フォルダーを作成する
"You duplicated the block.",ブロックを複製しました。
"You duplicated the page.",ページを複製しました。
"The CMS page with the ""%1"" ID doesn't exist.","ID ""%1"" のCMSページは存在しません。"
"The page URL key can't use capital letters or disallowed symbols. Remove the letters and symbols and try again.","ページURLキーでは、大文字または許可されていない記号は使用できません。 文字と記号を削除して、再度お試し下さい。"
"The page URL key can't use only numbers. Add letters or words and try again.",ページURLキーは数字のみでは使用できません。文字や単語を追加して再度お試し下さい。
"Upload Images",画像をアップロード
"Default Page Layout",デフォルトページのレイアウト
"Backup Log Details",バックアップログの詳細
"Requested system report has no data to output.",要求されたシステムレポートに出力するデータがありません。
"Are you sure you want to delete the system report?",システムレポートを削除してもよろしいですか？
"Go to Top",トップへ
Report,レポート
"System Report Information",システムレポート情報
"Requested system report has no data to display.",要求されたシステムレポートに表示するデータがありません。
"Output path %1 doesn't exist","出力先ディレクトリ %1 が存在しません"
"Unknown DB param: %1","不明なDBパラメータ: %1"
"Paths file already exists",パスファイルは既に存在します
"Paths file cannot be created",パスファイルを作成できません
Support,サポート
"Data Collector",データコレクタ
"The backup has been saved.",バックアップが保存されました。
"Failed to save backup with error: %1","エラーのあるバックアップを保存できませんでした: %1"
"An error occurred while saving backup",バックアップの保存中にエラーが発生しました
"All processes should be complete",すべてのプロセスが完了している必要があります
"Wrong param id","間違ったparam id"
"The backup has been deleted.",バックアップが削除されました。
"Cannot delete backup",バックアップを削除できません
"File does not exist",ファイルは存在しません
"Log Details",ログの詳細
"An error occurred during mass deletion of data collector backups. Please review log and try again.",データコレクタバックアップの一括削除中にエラーが発生しました。ログを確認してもう一度お試しください。
"After you make your selections, click the ""Create"" button. Then stand by while the System Report is generated. This may take a few minutes. You will receive a notification once this step is completed.","選択した後、 ""作成"" ボタンをクリックします。その後、システムレポートが生成されている間待機します。これには数分かかることがあります。この手順が完了すると、通知が届きます。"
"Create System Report",システムレポートの作成
"Unable to find a system report to delete.",削除するシステムレポートを見つけることができません。
"The system report has been deleted.",システムレポートが削除されました。
"An error occurred while deleting the system report. Please review log and try again.",システムレポートの削除中にエラーが発生しました。ログを確認してもう一度お試しください。
"Requested system report no longer exists.",要求されたシステムレポートは存在しません。
"Unable to read system report data to display.",表示するシステムレポートデータを読み取ることができません。
"No groups were specified to generate system report.",システムレポートを生成するグループは指定されていません。
"The system report has been generated.",システムレポートが生成されました。
"An error occurred while the system report was being created. Please review the log and try again.",システムレポートの作成中にエラーが発生しました。ログを確認してもう一度お試しください。
"System Reports",システムレポート
"An error occurred during mass deletion of system reports. Please review log and try again.",システムレポートの一括削除中にエラーが発生しました。ログを確認してもう一度お試しください。
"Utility %1 not found","ユーティリティ %1 が見つかりません"
"Unknown utility: %1","不明なユーティリティ: %1"
"Cannot set root directory.",ルートディレクトリを設定できません。
"Support Module doesn't support %s operation system","サポートモジュールは %s オペレーションシステムをサポートしていません"
"Unable to create backup due to php exec function is disabled","PHP exe機能が無効のためにバックアップを作成することができません"
Incomplete,未完了
"Directory %s should have writable & readable permissions",ディレクトリ%sには書き込みと読み込み権限が必要です
Windows,ウィンドウズ
"Processing ...",処理中...
(now),(現在)
"[%1 minutes ago]","[%1 分前]"
"[%1 hours ago]","[%1 時間前]"
"[%1 days ago]","[%1 日前]"
"[%1 weeks ago]","[%1 週間前]"
"[%1 months ago]","[%1 ヶ月前]"
"[%1 years ago]","[%1 年前]"
"And more...",さらに見る
"Column %1","列 %1"
"Preparing system report data: Detected Single Row Mode but data may be incomplete.",システムレポートデータの準備：検出された単一行モードですが、データが不完全である可能性があります。
"All Eav Attributes",すべてのEav属性
"Category Eav Attributes",カテゴリEav属性
"Customer Address Eav Attributes",顧客アドレス属性
"Customer Eav Attributes",顧客のEav属性
"Entity Types",エンティティタイプ
Model,モデル
"Attribute Model",属性モデル
"Increment Model",インクリメントモデル
"Main Table",メインテーブル
"Additional Attribute Table",追加の属性テーブル
"New Eav Attributes",新しいEav属性
"Product Eav Attributes",製品Eav属性
"Rma Item Eav Attributes",RmaアイテムEav属性
"User Defined Eav Attributes",ユーザー定義のEav属性
"Data from app/etc/env.php",app/etc/env.php　からのデータ
Group,グループ
"Is Gateway",はゲートウェイです
"For Checkout",チェックアウトの場合
"For Multishipping",マルチシッピングの場合
"Partial Capture Online",部分キャプチャオンライン
"Refund Online",払い戻しオンライン
"Partial Refund Online",部分払い戻しオンライン
"Partial Capture Offline",部分キャプチャオフライン
"Partial Refund Offline",一部払い戻しオフライン
"Payments Functionality Matrix",支払い機能マトリックス
"Job Code",ジョブコード
"Cron Expression",Cron式
"Run Class",クラスを実行する
"Run Method",メソッドを実行する
"Group Code",グループコード
"All Configurable Cron Jobs",すべての設定可能なCronジョブ
"All Global Cron Jobs",すべてのグローバルCronジョブ
"Cron Schedules List",Cronスケジュール一覧
"Schedule Id",スケジュールID
"Scheduled At",予定時刻
"Executed At",実行時
"Finished At",完了
"Core Configurable Cron Jobs",コア設定可能なCronジョブ
"Core Global Cron Jobs",コアグローバルCronジョブ
"Cron Schedules by job code",ジョブコード別のCronスケジュール
Count,カウント
"Cron Schedules by status code",ステータスコード別のCronスケジュール
"Custom Configurable Cron Jobs",カスタム設定可能なCronジョブ
"Custom Global Cron Jobs",コアグローバルCronジョブ
"Errors in Cron Schedules Queue",Cronスケジュールのエラーキュー
"Corrupted Categories Data",破損したカテゴリデータ
"Expected Children Count",予想される子供の数
"Actual Children Count",実際の子供の数
"Expected Level",予想レベル
"Actual Level",実際のレベル
"Duplicate Categories By URL Key",URLキーによるカテゴリの重複
"URL key","URL キー"
"Duplicate Orders By Increment Id",増分IDで重複した注文
"Increment Id",増分ID
"Customer Id","顧客 Id"
"Duplicate Products By SKU",SKUによる製品の重複
"Duplicate Products By URL Key",URLキーによる商品の重複
"Duplicate Users By Email",電子メールによるユーザーの重複
Parent,ペアレント
"Adminhtml Themes List",Adminhtmlのテーマリスト
"Frontend Themes List",フロントエンドのテーマ一覧
"Event Name",イベント名
"Observer Class",オブザーバークラス
Method,メソッド
"All Admin Events",すべての管理イベント
"All Crontab Events",すべてのCrontabイベント
"All Doc Events",すべてのドキュメントイベント
"All Frontend Events",すべてのフロントエンドイベント
"All Global events",すべてのグローバルイベント
"All REST Events",すべてのRESTイベント
"All SOAP Events",すべてのSOAPイベント
"Core Admin Events",コア管理イベント
"Core Crontab Events",コアCrontabイベント
"Core Doc Events",コアDocイベント
"Core Frontend Events",コアフロントエンドイベント
"Core Global Events",コアグローバルイベント
"Core REST Events",コアRESTイベント
"Core SOAP Events",コアSOAPイベント
"Custom Admin Events",カスタム管理イベント
"Custom Crontab Events",カスタムCrontabイベント
"Custom Doc Events",コアDocイベント
"Custom Frontend Events",コアフロントエンドイベント
"Custom Global Events",コアグローバルイベント
"Custom REST Events",コアRESTイベント
"Custom SOAP Events",コアSOAPイベント
"Log Files",ログファイル
"Log Entries",ログエントリ
"Last Update",最終更新
"Today's Top Debug Messages",本日のトップデバッグメッセージ
"Last Occurrence",前回の発生
"Today's Top Exception Messages",本日のトップ例外メッセージ
"Stack Trace",スタックトレース
"Today's Top System Messages",本日のトップシステムメッセージ
"Top Debug Messages",トップのデバッグメッセージ
"Top Exception Messages",トップ例外メッセージ
"Top System Messages",トップシステムメッセージ
"Store Views List",ストアビュー一覧
"Stores List",ストア一覧
"Websites List",ウェブサイトリスト
"Websites Tree",ウェブサイトツリー
"There was an error while loading system report data.",システムレポートデータの読み込み中にエラーが発生しました。
"Cannot save backup. The reason is: Utility lsof not found",バックアップを保存できません。その理由は：ユーティリティlsofが見つかりません
"Test error",テストエラー
"Entity Type Code",エンティティタイプコード
"Source Model",ソースモデル
"Backend Model",バックエンドモデル
"Frontend Model",フロントエンドモデル
"Show Log",ログ表示
"Delete ""%1""","削除 ""%1"""
"Are you sure you want to delete a ""%1"" record?","あなたは本当に ""%1""レコードを削除しますか？"
"Are you sure you wan't to delete a ""%1"" record?","本当に""%1""レコードを削除しますか？"
"Empty log",空のログ
"Backup ID: ","バックエンド ID: "
Collapse,畳む
Expand,拡張
" (no data)"," (データがありません)"
Top,トップ
"No data",データなし
"Support Data Collector",サポートデータコレクタ
"Support System Report",サポートシステムレポート
"System Report",システムレポート
Data,データ
Modules,モジュール
Logs,ログ
Events,イベント
"New Backup",新しいバックアップ
"Refresh Status",ステータスの更新
"Are you sure you want to delete selected item(s)?",選択したアイテムを削除してもよろしいですか？
"Code Dump",コードダンプ
"DB Dump","DB ダンプ"
"Choose Report Groups",レポートグループの選択
"New Report",新しいレポート
"Date Generated",発生日
"Report Groups",レポートグループ
"All processes should be completed.",すべてのプロセスが完了している必要があります.
"The ""%1"" utility wasn't found. Verify the utility and try again.","""%1"" ユーティリティが見つかりませんでした。ユーティリティを確認して再度お試し下さい。"
"The ""%1"" utility is unknown. Verify the utility and try again.","""%1"" ユーティリティが不明です。ユーティリティを確認して再度お試し下さい。"
"The root category can't be set. Verify the category and try again.",ルートカテゴリを設定できません。カテゴリを確認して再度お試し下さい。
"Save and Continue",保存して続ける
"Save Configuration",設定を保存
Themes,テーマ
"Are you sure you want to delete this theme?",このテーマを削除しますか?
"Theme: %1","テーマ: %1"
"Theme CSS","テーマ CSS"
"Theme CSS Assets","テーマ CSS アセット"
"Custom CSS","カスタム CSS"
"Select CSS File to Upload","アップロードするCSS Fileを選択してください"
"Upload CSS File",CSSファイルをアップロード
"Download CSS File",CSSファイルをダウンロード
Manage,管理
"Images Assets",画像アセット
"Upload Fonts",フォントをアップロード
"Fonts Assets",フォントアセット
"Edit custom.css",custom.css編集
"Allowed file types *.css.","許可されたファイル・タイプは *.css."
"This file will replace the current custom.css file and can't be more than 2 MB.",このファイルは現在のcustom.cssファイルを置き換えて2MB以上にできません
"Max file size to upload %1M",アップロードできるファイルの最大サイズは%1M
"Something is wrong with the file upload settings.",ファイルアップロード設定に問題があります
"CSS Editor","CSS エディター"
"Theme Settings",テーマ設定
"Parent Theme",親設定
"Theme Path",テーマパス
"Theme Title",テーマタイトル
"Theme Preview Image",テーマプレビュー画像
"Copy of %1",%1のコピー
"Max image size %1M","最大画像サイズ %1M"
"Theme JavaScript","テーマ JavaScript"
"Select JS Files to Upload",アップロードするJSファイルを選択してください
"Upload JS Files",JSファイルアップロード
"JS Editor",JSエディター
"Allowed file types *.js.","許可されたファイルタイプ *.js."
"Design Configuration",デザイン設定
"You deleted the theme.",テーマを削除しました
"We cannot delete the theme.",テーマを削除できません
"File not found: ""%1"".","ファイルが見つかりません: ""%1""."
"We can't find file.",ファイルが見つかりません
"We cannot find theme ""%1"".","テーマが見つかりません ""%1""."
"We cannot find the theme.",テーマが見つかりません
"This theme is not editable.",このテーマは編集できません
"You saved the theme.",テーマを保存しました
"We can't upload the CSS file right now.",現在CSSファイルをアップロードできません
"We cannot find a theme with id ""%1"".","id ""%1""のテーマがみつかりません"
"We can't upload the JS file right now.",現在JSファイルをアップロードできません
"Sorry, something went wrong. That's all we know.",申し訳ありません、エラーが発生いたしました。原因調査中です。
"Invalid type",不正なタイプ
"Invalid scope or scope id",無効なスコープまたはスコープID
"%1 does not contain field '%2'",%1はフィールド'%2'を含みません
"Invalid regular expression: ""%1"".","不正なレギュラー表現: ""%1""."
"%1 does not contain field 'file'",%1はフィールド'file'を含みません
"Backend model is not specified for %1","%1 にバックエンドモデルが指定されていません。"
"The %templateName contains an incorrect configuration. The template has a reference to itself. Either remove or change the reference.","%templateName には不正な設定が含まれています。 テンプレートには、そのテンプレートへの参照があります。 参照を削除するかまたは変更して下さい。"
"Can not save empty config",空の設定を保存することはできません
"The start date can't follow the end date.",開始日は終了日よりあとの日付を指定できません。
"The date range for this design change overlaps another design change for the specified store.",このデザイン変更の日付の範囲は、指定したストアの別のデザイン変更と重複します。
"Theme id should be set",テーマidをセットしてください
"Circular-reference in theme inheritance detected for ""%1"""," ""%1""のテーマ継承にサーキュラーリファレンスを検知しました"
"The CSS file must be less than %1M.",CSSファイルは%1M以下でなければなりません
"The JS file must be less than %1M.",JSファイルは%1M以下でなければなりません
"Use only standard alphanumeric, dashes and underscores.",スタンダードの英数字、ハイフン、アンダースコアのみ使ってください
"We found a directory with the same name.",同じ名前のディレクトリをみつけました
"We cannot find a directory with this name.",この名前のディレクトリをみつけられません
"Theme isn't deletable.",テーマは削除可能ではありません
"localized exception",ローカライズ例外
"Test Label",テストラベル
Phrase,フェーズ
testMessage,テストメッセージ
"We found no files.",ファイルがみつかりません
"Browse Files",ファイルをブラウズする
Scope:,スコープ:
"Help Us Keep Magento Healthy",Magentoの健全化にご協力下さい
"Report All Bugs",バグを報告する
"Toggle Nav",ナビを呼ぶ
"JavaScript seems to be disabled in your browser.","JavaScriptがお使いのブラウザで無効になっているようです。"""
"For the best experience on our site, be sure to turn on Javascript in your browser.",我々のサイトを最善の状態でみるために、ブラウザのjavascriptをオンにしてください
"Local Storage seems to be disabled in your browser.",ローカルストレージがブラウザで無効になっています
"For the best experience on our site, be sure to turn on Local Storage in your browser.",我々のサイトを最善の状態でみるために、ローカルストレージをブラウザで有効にしてください
"This is demo store. No orders will be fulfilled.","これはデモストアです。 注文はできません"
"Items %1 to %2 of %3 total","%1 から %2 のアイテムの %3 合計"
"%1 Item(s)","%1 アイテム"
"Store alternative addresses (for shipping to multiple family members and friends)","店舗の別住所 (複数の家族メンバーと友達のために)"
"We don't recognize this file extension.",拡張子を認識できませんでした
"1 column",1カラム
"Default welcome msg!",標準のウェルカムメッセージ!
"Copyright © 2013-present Magento, Inc. All rights reserved.","Copyright © 2013-現在 Magento, Inc. All rights reserved."
"Design Config Grid",デザイン設定グリッド
"Rebuild design config grid index",デザイン設定グリッドのインデックスの再構築
"Admin empty",アドミンが空です
"Admin 1column","アドミン 1カラム"
"Theme Information",テーマ情報
"HTML Head","HTML ヘッダ"
"Allowed file types: ico, png, gif, jpg, jpeg, apng. Not all browsers support all these formats!","使用できるファイル形式： ICO, PNG, GIF, JPG, JPEG, APNG。すべてのブラウザがすべてのフォーマットをサポートしているわけではないことに注意してください！"
"Favicon Icon",ファビコン
"Default Page Title",デフォルトのページタイトル
"Page Title Prefix",ページタイトルプレフィックス
"Page Title Suffix",ページタイトルサフィックス
"Default Meta Description",標準のメタの説明
"Default Meta Keywords",初期メタキーワード
"This will be included before head closing tag in page HTML.",ページのHTMLのheadタグ終了前に追記されます。
"Scripts and Style Sheets","スクリプトとスタイル シート"
"Display Demo Store Notice",デモストア通知の表示
Header,ヘッダー
"Allowed file types: png, gif, jpg, jpeg.","使用できるファイル形式: PNG, GIF, JPG, JPEG"
"Logo Image",ロゴ画像
"Logo Attribute Width",ロゴ属性の幅
"Logo Attribute Height",ロゴ属性の高さ
"Welcome Text",ウェルカムメッセージ
"Logo Image Alt",ロゴイメージAlt
"This will be displayed just before the body closing tag.",bodyタグの終了直前に出力されます。
"Miscellaneous HTML","色々な HTML"
Copyright,コピーライト
"Default Robots",標準のrobots.txt
"Edit custom instruction of robots.txt File",robots.txtファイルのカスタムインストラクション編集
